qos,5
$SYS/broker/heap/current,b'646885208',37
$SYS/broker/messages/received,b'3225952472',158
$SYS/broker/messages/sent,b'4562749271',75
$SYS/broker/publish/messages/dropped,b'829184024',6563
$SYS/broker/publish/messages/received,b'1495994374',105
$SYS/broker/publish/messages/sent,b'2131304033',91
$SYS/broker/bytes/received,b'66375140624',88
$SYS/broker/bytes/sent,b'70086502519',88
$SYS/broker/publish/bytes/received,b'16613268662',79
$SYS/broker/publish/bytes/sent,b'15470857846',83
counter/fast/q2,b'1177810',232470
counter/fast/q2,b'1177839',243817
counter/fast/q2,b'1177861',245913
counter/fast/q2,b'1177862',326
counter/fast/q2,b'1177863',286
